source,target,weight,street_name,highway_type,oneway,maxspeed,length_meters
0,1,255,Unnamed Street,motorway_link,True,N/A,254.71
0,2,768,Cross Island Parkway,motorway,True,50 mph,767.80
3,4,260,Unnamed Street,motorway_link,True,N/A,259.67
3,5,292,Cross Island Parkway,motorway,True,50 mph,291.84
6,7,433,Unnamed Street,motorway_link,True,N/A,433.15
6,8,552,Cross Island Parkway,motorway,True,50 mph,552.42
9,10,86,Central Park West,secondary,False,25 mph,86.26
10,9,86,Central Park West,secondary,False,25 mph,86.26
9,11,85,Central Park West,secondary,False,25 mph,85.34
11,9,85,Central Park West,secondary,False,25 mph,85.34
9,12,138,West 106th Street,secondary,False,N/A,138.03
12,9,138,West 106th Street,secondary,False,N/A,138.03
12,13,86,Manhattan Avenue,residential,False,N/A,86.15
13,12,86,Manhattan Avenue,residential,False,N/A,86.15
12,14,86,Manhattan Avenue,residential,False,N/A,85.61
14,12,86,Manhattan Avenue,residential,False,N/A,85.61
12,9,138,West 106th Street,secondary,False,N/A,138.03
9,12,138,West 106th Street,secondary,False,N/A,138.03
12,15,135,West 106th Street,secondary,False,N/A,134.77
15,12,135,West 106th Street,secondary,False,N/A,134.77
15,12,135,West 106th Street,secondary,False,N/A,134.77
12,15,135,West 106th Street,secondary,False,N/A,134.77
15,16,86,Columbus Avenue,primary,True,25 mph,85.99
15,17,271,West 106th Street,secondary,False,N/A,271.35
17,15,271,West 106th Street,secondary,False,N/A,271.35
17,18,86,Amsterdam Avenue,primary,True,N/A,86.11
17,19,200,West 106th Street,secondary,False,N/A,199.80
19,17,200,West 106th Street,secondary,False,N/A,199.80
17,15,271,West 106th Street,secondary,False,N/A,271.35
15,17,271,West 106th Street,secondary,False,N/A,271.35
20,19,22,West 106th Street,secondary,False,N/A,22.09
19,20,22,West 106th Street,secondary,False,N/A,22.09
20,21,56,West 106th Street,secondary,False,N/A,55.92
21,20,56,West 106th Street,secondary,False,N/A,55.92
20,22,93,Broadway,primary,True,25 mph,93.40
21,23,142,West 106th Street,residential,False,N/A,142.26
23,21,142,West 106th Street,residential,False,N/A,142.26
21,20,56,West 106th Street,secondary,False,N/A,55.92
20,21,56,West 106th Street,secondary,False,N/A,55.92
21,24,86,West End Avenue,tertiary,False,25 mph,85.58
24,21,86,West End Avenue,tertiary,False,25 mph,85.58
23,25,85,Riverside Drive,residential,True,N/A,85.18
23,21,142,West 106th Street,residential,False,N/A,142.26
21,23,142,West 106th Street,residential,False,N/A,142.26
26,27,86,Columbus Avenue,primary,True,25 mph,86.01
28,26,272,West 80th Street,residential,True,N/A,271.70
28,29,82,Amsterdam Avenue,primary,True,N/A,81.62
30,31,17,West 80th Street,residential,True,N/A,17.10
30,32,86,Broadway,primary,True,25 mph,86.21
33,30,105,West 80th Street,residential,True,N/A,105.43
33,34,81,West End Avenue,tertiary,False,25 mph,80.92
34,33,81,West End Avenue,tertiary,False,25 mph,80.92
33,35,87,West End Avenue,tertiary,False,25 mph,86.55
35,33,87,West End Avenue,tertiary,False,25 mph,86.55
36,33,128,West 80th Street,residential,True,N/A,127.99
36,37,87,Riverside Drive,secondary,False,N/A,87.48
37,36,87,Riverside Drive,secondary,False,N/A,87.48
36,38,82,Riverside Drive,secondary,False,N/A,82.19
38,36,82,Riverside Drive,secondary,False,N/A,82.19
39,40,267,Nagle Avenue,primary,False,N/A,267.01
40,39,267,Nagle Avenue,primary,False,N/A,267.01
39,41,249,Bennett Avenue,residential,True,20 mph,249.00
39,42,153,Broadway,primary,False,N/A,153.18
42,39,153,Broadway,primary,False,N/A,153.18
39,43,30,Broadway,primary,False,N/A,29.61
43,39,30,Broadway,primary,False,N/A,29.61
44,45,240,Hillside Avenue,tertiary,True,N/A,239.75
